5,14,D07, 1, 64
7,27,A07, 9, 6
6,12,A07, 4, 163
13,25,A07, 4, 86
1,22,A07, 2, 208
9,15,H01, 4, 55
9,3,A08, 46, 4
10,14,A08, 1, 21
17,29,A08, 5, 15
17,11,A08, 15, 63
5,10,H09, 0, 23
14,14,A08, 23, 0
7,28,H02, 3, 3
14,9,A09, 63, 4
1,14,C08, 3, 46
11,40,G09, 10, 0
7,23,A09, 3, 134
11,15,C08, 2, 46
10,29,G05, 3, 152
11,23,G03, 0, 47
16,8,A09, 201, 39
8,14,A09, 9, 115
17,10,A09, 55, 3
8,17,A09, 82, 13
14,25,A10, 5, 68
15,3,H03, 1, 3
9,14,A10, 28, 8
13,1,A10, 60, 10
11,16,A10, 3, 153
4,43,H12, 0, 14
3,38,A10, 56, 4
10,18,A10, 2, 158
3,1,H05, 6, 12
9,23,H05, 0, 51
2,24,G12, 8, 3
7,10,A10, 14, 163
16,6,A11, 96, 26
14,7,F12, 1, 8
11,4,A11, 237, 28
7,11,A11, 98, 13
3,16,A11, 7, 45
17,22,A11, 2, 55
12,11,A11, 4, 117
16,22,A11, 12, 239
2,33,A11, 24, 346
15,27,A11, 0, 103
14,25,A12, 3, 137
11,15,A12, 5, 152
14,31,A12, 134, 11
4,21,A12, 8, 120
5,20,B12, 1, 68
18,8,A12, 2, 10
17,22,A12, 3, 76
18,31,G07, 0, 73
8,16,E06, 1, 10
2,13,B02, 9, 97
8,4,B02, 1, 103
17,29,B02, 5, 49
8,8,B02, 41, 6
9,16,B02, 10, 119
15,24,B02, 86, 5
9,20,H12, 0, 35
15,28,B03, 1, 69
17,33,B03, 9, 9
8,39,B03, 49, 12
16,14,B03, 8, 117
8,21,B03, 4, 102
18,11,B03, 62, 11
10,18,B03, 2, 96
8,40,B03, 75, 7
7,17,B03, 4, 24
3,13,B03, 3, 145
4,43,H08, 0, 12
8,20,B04, 0, 102
15,21,B04, 31, 163
4,40,B04, 72, 10
2,15,B04, 11, 88
9,13,B04, 3, 58
7,17,B04, 8, 15
16,6,B05, 62, 2
11,1,G10, 5, 1
16,38,B05, 76, 2
13,26,B05, 2, 60
7,11,B05, 62, 17
3,38,B05, 6, 26
16,37,B05, 36, 3
7,22,B05, 5, 71
4,43,H09, 0, 11
14,21,B06, 4, 69
18,9,B06, 11, 26
2,43,B06, 24, 6
14,17,B06, 0, 68
2,23,H02, 1, 6
12,35,B06, 66, 1
16,2,B06, 60, 0
9,6,B06, 105, 4
7,25,B06, 1, 85
1,15,B06, 3, 234
2,39,C05, 64, 0
17,31,B07, 2, 93
15,27,B07, 10, 390
1,44,B07, 138, 2
1,15,C05, 0, 40
17,24,B07, 8, 44
5,25,B08, 7, 121
15,39,B08, 0, 54
14,4,B08, 15, 1
11,35,B08, 7, 70
12,26,B08, 5, 47
2,10,B08, 19, 210
3,11,C09, 2, 38
11,33,B09, 50, 10
3,7,B09, 169, 6
11,2,B09, 95, 7
8,35,B09, 4, 71
4,4,B09, 85, 5
10,15,B10, 3, 34
9,22,B10, 1, 72
1,12,B10, 4, 20
16,27,H05, 13, 0
11,2,B10, 139, 16
18,9,G10, 4, 25
3,25,B10, 9, 145
17,35,B10, 100, 4
4,20,E04, 2, 36
16,31,H06, 0, 24
6,19,B11, 7, 81
8,20,F06, 2, 3
3,14,E07, 2, 9
5,8,B11, 6, 49
6,20,B11, 7, 90
15,14,B11, 0, 50
12,13,B11, 80, 3
4,39,B11, 95, 1
8,23,B11, 0, 52
4,23,C02, 3, 52
18,16,B12, 2, 66
18,24,B12, 8, 118
5,15,D04, 0, 33
15,6,B12, 69, 4
4,18,B12, 6, 80
12,23,G11, 1, 78
15,27,B12, 57, 11
16,7,C01, 221, 24
6,15,G10, 1, 65
13,1,C01, 10, 5
9,2,H11, 8, 0
12,35,C01, 5, 91
11,35,C01, 5, 89
15,4,C01, 76, 12
2,23,H06, 1, 7
14,14,F06, 19, 0
17,25,C02, 6, 2
14,7,C02, 5, 5
6,7,C02, 56, 1
2,25,D01, 0, 25
6,17,C03, 5, 62
8,20,G03, 1, 16
13,13,C03, 4, 57
18,3,C03, 44, 1
18,11,C03, 96, 10
4,14,C03, 21, 111
11,21,G07, 0, 16
16,38,C04, 9, 91
5,6,G05, 30, 0
4,40,E07, 34, 0
10,15,C05, 23, 63
18,15,C05, 6, 83
10,35,H09, 0, 58
9,16,C05, 0, 91
5,11,C06, 47, 1
6,6,C06, 29, 3
17,33,C07, 1, 71
11,3,E01, 0, 36
2,1,C07, 10, 9
14,15,C07, 87, 4
9,18,H03, 2, 24
13,13,C07, 11, 36
10,29,C07, 6, 75
18,3,C07, 81, 5
11,38,C08, 21, 0
12,29,G04, 20, 0
10,11,C08, 30, 1
17,2,D11, 38, 0
18,12,C08, 35, 0
16,7,C09, 4, 16
7,2,C09, 119, 10
3,27,C09, 4, 7
