118500,11,7,D10,4
76294,11,7,D10,2
101849,13,12,D10,16
111636,13,2,D10,1
98993,11,9,D10,1
111769,13,12,D10,54
76523,13,12,D10,4
76165,11,7,D10,1
80265,13,12,D06,3
80919,15,7,D03,1
77316,13,12,D10,21
97928,15,7,D10,2
80861,15,4,D10,1
75517,13,13,D10,1
75501,17,6,D08,2
92623,13,2,D07,4
75497,13,12,D10,5
78465,13,12,D10,107
80393,13,12,D10,8
97591,15,4,D10,1
111779,21,14,D08,1
80941,11,9,D10,1
72128,13,13,D10,1
97484,11,7,D10,1
97446,15,1,D10,1
65556,13,13,D10,2
119527,13,13,D07,8
84572,15,6,D10,1
92576,15,1,D10,1
85332,13,12,D10,2
111490,11,9,D10,1
115319,17,6,D10,2
95678,17,6,D10,1
95168,11,7,D10,1
65500,13,12,D10,7
88665,13,2,D10,1
116790,17,6,D10,1
109324,13,12,D10,74
112462,13,13,D07,1
107820,11,9,D10,2
96756,13,2,D10,1
76190,13,12,D10,59
115939,13,12,D10,16
78657,13,12,D10,24
78572,13,12,D10,2
85750,13,12,D10,8
72263,13,13,D10,2
67837,17,6,D10,2
89461,11,12,D10,1
73841,13,12,D10,43
103872,13,13,D10,1
81229,13,13,D10,1
113900,7,11,D08,2
95368,17,6,D10,1
119109,11,12,D10,1
113210,5,13,D10,2
87833,13,12,D10,28
112282,15,4,D10,1
107390,21,14,D08,2
67927,13,13,D10,1
104913,13,12,D10,4
110486,11,12,D10,1
67056,13,13,D10,1
101211,17,6,D10,1
112257,13,13,D10,1
119498,17,6,D10,1
83984,11,9,D10,1
75206,15,4,D10,1
96788,11,9,D10,1
99813,21,14,D08,1
107575,11,9,D10,1
99122,5,9,D10,2
118566,11,9,D10,1
65554,13,12,D10,6
86681,11,7,D10,1
101850,13,13,D10,1
86149,13,13,D10,1
72680,11,9,D10,1
92824,15,7,D10,1
94364,13,13,D10,1
93728,13,12,D10,36
117006,13,12,D10,4
120665,15,1,D07,2
101806,11,9,D10,2
101207,11,9,D10,2
119716,11,9,D10,1
82628,11,7,D08,11
113003,17,6,D10,1
91615,15,7,D10,9
99763,13,12,D10,56
103202,13,12,D10,62
103290,13,12,D10,18
99171,5,9,D10,1
107032,15,6,D10,1
69226,5,13,D10,2
98986,15,4,D10,1
84772,13,12,D10,1
100862,13,12,D10,5
106166,13,12,D10,31
101435,17,6,D10,1
100847,13,13,D10,1
69331,13,13,D10,1
79945,17,6,D10,2
70128,17,6,D10,2
103749,13,13,D10,2
93552,11,12,D10,3
83536,13,12,D10,19
75029,13,12,D10,16
106705,13,13,D10,8
106197,11,9,D06,13
72296,15,4,D10,2
93372,11,7,D10,1
109245,13,12,D10,38
106014,13,12,D10,61
86084,13,13,D10,4
114034,13,12,D10,19
94312,13,13,D10,1
111380,11,9,D10,1
104596,13,12,D10,1
106096,13,12,D10,28
82451,11,9,D10,2
65772,11,9,D10,6
66852,11,7,D08,3
79268,21,14,D08,2
89257,11,12,D10,1
70454,11,9,D10,1
111327,11,7,D10,1
68350,17,6,D10,1
98160,9,11,D10,1
100668,11,7,D10,2
81306,11,9,D10,2
120673,13,12,D10,163
92710,11,9,D10,1
67572,5,9,D10,1
76628,17,6,D10,1
