hg,23328,25,1
hg,21197,25,1
hg,55524,25,1
hg,48859,25,1
hg,44440,25,1
hg,54146,25,1
hg,63972,25,1
hg,64052,25,1
hg,10822,25,1
hg,1403,25,1
hg,6607,25,1
hg,2828,25,1
hg,22816,25,1
hg,52561,93,1
hg,811,93,1
hg,43677,93,1
hg,46887,93,1
hg,6235,92,1
hg,5395,86,1
hg,40650,86,1
mm,114286,86,1
hg,49554,86,1
hg,46266,86,1
hg,8754,86,1
hg,44254,86,1
hg,63205,86,1
hg,61909,86,2
mm,121311,63,1
mm,73828,63,1
hg,41932,94,1
hg,65405,94,1
hg,15781,89,1
hg,50845,89,1
hg,5091,89,1
hg,8004,89,1
hg,55964,89,1
hg,404,89,1
hg,9140,89,1
hg,63333,89,1
hg,51220,89,1
hg,12266,89,1
hg,9660,89,1
hg,56282,89,1
hg,25365,89,1
hg,56471,89,1
hg,55098,89,1
hg,7456,89,1
hg,11640,89,1
hg,43714,89,1
hg,44494,89,1
hg,81,89,1
hg,30406,89,1
hg,2214,89,1
hg,24750,89,1
hg,18380,89,1
hg,26216,89,1
hg,12330,89,1
hg,45247,89,1
hg,10078,89,2
hg,4653,89,1
hg,54856,89,1
hg,30850,89,1
hg,35676,89,1
hg,34191,36,1
mm,76330,91,1
hg,32653,91,1
mm,112369,91,1
hg,9918,91,1
hg,46093,91,1
hg,41498,51,1
hg,52684,51,1
hg,44542,15,1
hg,44146,61,1
hg,15138,61,2
hg,54792,61,1
hg,19463,61,1
hg,24750,61,1
hg,49213,61,1
hg,13098,61,1
hg,51676,61,1
hg,26965,61,1
hg,54193,61,1
hg,24077,61,1
hg,21264,61,1
hg,17866,61,1
hg,13400,61,1
hg,18059,61,1
hg,24820,61,1
hg,34660,61,1
hg,57826,61,1
hg,27499,61,1
mm,75624,50,1
hg,34111,27,1
hg,15732,107,1
hg,23182,107,1
hg,9902,101,1
hg,13380,79,1
hg,10345,67,2
hg,12050,53,1
hg,34110,53,1
hg,46238,53,1
hg,22824,80,1
hg,18914,80,1
hg,19716,80,1
hg,35076,80,1
hg,23124,80,2
hg,17513,80,1
hg,13983,80,1
hg,57771,12,1
mm,82405,104,1
hg,43206,45,1
hg,141,45,1
hg,24926,45,1
hg,9140,45,1
mm,104288,30,1
mm,104086,30,2
hg,42320,65,1
hg,27534,65,1
hg,1946,119,1
mm,86020,24,1
mm,114830,24,1
mm,110260,24,1
mm,80308,24,1
mm,113962,24,2
hg,22516,24,1
mm,120974,24,1
mm,71160,24,1
mm,91148,24,1
mm,68152,24,2
mm,75419,24,1
mm,119933,24,1
mm,90866,24,1
hg,39014,24,1
mm,98356,24,1
mm,104056,24,1
mm,79778,24,1
mm,72556,24,1
mm,95321,24,1
mm,101190,24,1
mm,116792,24,1
mm,119240,24,1
mm,93344,24,1
mm,72078,24,1
mm,111702,24,1
mm,115334,24,1
mm,67958,24,1
mm,75992,24,1
mm,74673,24,1
hg,9016,44,1
hg,42318,70,1
hg,7850,70,1
hg,6110,70,1
hg,30168,70,1
hg,14733,70,1
hg,28644,70,1
mm,83953,121,1
mm,102254,121,1
hg,25796,121,1
mm,96808,121,1
mm,109183,121,1
mm,98276,121,1
mm,114983,121,1
hg,27862,69,1
hg,27501,69,1
hg,11796,69,1
hg,20720,69,1
hg,41135,69,1
hg,46681,69,1
hg,60839,69,1
hg,7376,69,1
hg,39350,69,1
hg,47441,69,1
hg,22272,69,1
hg,32791,69,1
hg,22398,69,1
hg,42493,69,1
hg,51546,69,1
hg,53164,69,1
hg,45974,69,2
hg,27367,69,1
hg,17314,69,1
hg,12266,69,2
hg,43236,69,4
hg,32222,69,1
hg,50990,69,1
hg,53508,69,1
hg,44280,69,1
hg,14258,69,1
hg,10138,69,1
hg,64074,69,1
hg,18488,69,1
hg,22086,69,1
hg,55671,69,1
hg,53384,69,1
hg,8588,69,1
hg,38305,69,1
hg,54390,69,1
hg,8764,69,1
hg,21994,69,1
hg,31474,69,1
hg,36832,69,1
hg,40132,69,1
hg,48212,69,1
hg,58281,69,1
hg,57868,69,1
hg,12909,69,1
hg,26420,69,1
hg,17896,69,2
hg,137,69,1
hg,15914,69,1
hg,26492,69,1
hg,9294,69,1
hg,58747,69,1
hg,42686,69,1
hg,26566,69,1
hg,27464,69,1
hg,47493,69,1
hg,52016,69,1
hg,35788,69,1
hg,13718,69,1
hg,48136,69,1
hg,6945,69,1
hg,25906,69,1
hg,16616,69,1
hg,12157,69,2
hg,11622,17,1
hg,17294,54,2
hg,38309,54,1
hg,38864,39,1
hg,7240,39,1
hg,23410,39,1
hg,36918,39,1
hg,33750,39,2
hg,41986,39,1
hg,13582,39,1
hg,12718,39,1
hg,26434,39,1
hg,16906,39,1
hg,44956,39,1
hg,48006,39,1
hg,12202,39,1
hg,59422,111,1
hg,26582,82,1
hg,27501,43,1
hg,35990,43,1
hg,27508,43,1
hg,56228,43,1
hg,27904,43,1
hg,42313,43,1
hg,38197,43,1
hg,31686,156,1
hg,15986,224,1
hg,61106,224,1
hg,59764,224,1
hg,22056,224,9
hg,13173,224,1
hg,30104,224,2
hg,27616,224,1
hg,28501,224,1
hg,5033,224,1
hg,22516,224,3
hg,64934,224,1
hg,7776,224,1
hg,27820,224,1
mm,119933,165,1
mm,67928,131,3
hg,54922,211,4
mm,86398,166,1
hg,46424,223,1
hg,15456,223,1
hg,12941,223,1
hg,50702,223,1
hg,5444,223,1
hg,58570,223,2
hg,52256,223,1
hg,53231,223,1
hg,29388,223,1
hg,23108,223,3
hg,65405,223,1
hg,18935,223,1
hg,17866,223,2
mm,111644,223,1
hg,18204,223,1
hg,31604,130,3
hg,22542,142,1
hg,691,142,2
hg,48010,142,2
hg,42653,142,2
hg,51634,183,2
hg,48702,148,1
hg,18590,133,1
hg,22084,139,1
hg,8734,187,1
hg,12702,145,3
hg,25394,194,1
hg,49774,217,5
hg,31434,217,1
mm,100460,175,1
hg,43890,173,8
hg,15934,197,3
hg,63470,184,1
hg,11939,184,2
hg,32252,184,1
hg,35888,184,1
hg,47426,184,1
hg,31872,184,1
hg,23412,184,1
hg,26202,184,1
hg,56138,184,1
hg,56094,184,1
hg,27610,184,1
hg,6252,184,2
hg,45526,184,5
